INFO 2024-10-03 15:24:03,554 basehttp "GET /data-browser/query/finances.Account/active.html?&limit=1000 HTTP/1.1" 200 128318
INFO 2024-10-03 15:24:04,816 basehttp "GET /data-browser/query/finances.Account/static/js/main.c4ca9cb3.js HTTP/1.1" 301 0
INFO 2024-10-03 15:24:04,816 basehttp "GET /data-browser/query/finances.Account/static/css/main.c698af7a.css HTTP/1.1" 301 0
INFO 2024-10-03 15:24:06,498 basehttp "GET /data-browser/query/finances.Account/active.query?&limit=1000 HTTP/1.1" 200 166
INFO 2024-10-03 15:24:06,737 basehttp "GET /__debug__/history_sidebar/?store_id=a5bd7dc106404f5c95b071360388de7f HTTP/1.1" 200 8369
INFO 2024-10-03 15:24:08,296 basehttp "GET /data-browser/query/finances.Account/active.json?&limit=1000 HTTP/1.1" 200 291
INFO 2024-10-03 15:24:08,532 basehttp "GET /__debug__/history_sidebar/?store_id=ed26ef9707a746399ae2b7ed26145753 HTTP/1.1" 200 8367
INFO 2024-10-03 15:24:13,763 basehttp "GET /data-browser/query/finances.Account/.json?&limit=1000 HTTP/1.1" 200 122
INFO 2024-10-03 15:24:13,958 basehttp "GET /__debug__/history_sidebar/?store_id=da6f2d8993e44a479fdd2ddb7104ef65 HTTP/1.1" 200 8362
INFO 2024-10-03 15:24:15,510 basehttp "GET /data-browser/query/finances.Account/active.json?&limit=1000 HTTP/1.1" 200 291
INFO 2024-10-03 15:24:15,753 basehttp "GET /__debug__/history_sidebar/?store_id=51ee7052fbfd4635bc5db5554d8b2e32 HTTP/1.1" 200 8368
INFO 2024-10-03 15:24:17,938 basehttp "GET /data-browser/query/finances.Account/active,initial_balance.json?&limit=1000 HTTP/1.1" 200 600
INFO 2024-10-03 15:24:18,139 basehttp "GET /__debug__/history_sidebar/?store_id=41ce227a588c4172a836e1fe02406010 HTTP/1.1" 200 8383
INFO 2024-10-03 15:24:20,206 basehttp "GET /data-browser/query/finances.Account/active,initial_balance,name.json?&limit=1000 HTTP/1.1" 200 805
INFO 2024-10-03 15:24:20,406 basehttp "GET /__debug__/history_sidebar/?store_id=1157ede575cc442382962c306492a521 HTTP/1.1" 200 8389
INFO 2024-10-03 15:24:29,291 basehttp "GET /data-browser/query/finances.Account/active,initial_balance,name.json?&limit=1000 HTTP/1.1" 200 805
INFO 2024-10-03 15:24:38,285 basehttp "POST /data-browser/api/views/ HTTP/1.1" 200 416
INFO 2024-10-03 15:24:38,486 basehttp "GET /__debug__/history_sidebar/?store_id=61055d0b34a741dcbdceb84c15907fed HTTP/1.1" 200 8332
INFO 2024-10-03 15:24:39,530 basehttp "GET /data-browser/query/finances.Account/active,initial_balance,name.json?&limit=1000 HTTP/1.1" 200 805
INFO 2024-10-03 15:24:40,284 basehttp "GET /data-browser/api/views/H4qeZueo18DP/ HTTP/1.1" 200 416
INFO 2024-10-03 15:24:40,816 basehttp "GET /__debug__/history_sidebar/?store_id=5397d84c8407417ab230cce96a529725 HTTP/1.1" 200 8347
INFO 2024-10-03 15:24:42,235 basehttp "GET /data-browser/query/finances.Account/active,initial_balance.query?&limit=1000 HTTP/1.1" 200 270
INFO 2024-10-03 15:24:42,424 basehttp "GET /__debug__/history_sidebar/?store_id=107131d6424c40648992dc0586bfc9da HTTP/1.1" 200 8385
INFO 2024-10-03 15:24:44,029 basehttp "GET /data-browser/query/finances.Account/active,initial_balance.json?&limit=1000 HTTP/1.1" 200 600
INFO 2024-10-03 15:24:44,285 basehttp "GET /__debug__/history_sidebar/?store_id=91c77596b68044cd80cbf18229ca6bd2 HTTP/1.1" 200 8383
INFO 2024-10-03 15:24:46,417 basehttp "GET /data-browser/api/views/ HTTP/1.1" 200 443
INFO 2024-10-03 15:24:46,650 basehttp "GET /__debug__/history_sidebar/?store_id=a20cfac2092146cfadaf0763492cf5fb HTTP/1.1" 200 8333
INFO 2024-10-03 15:24:48,184 basehttp "GET /data-browser/query/auth.User/.query?&limit=1000 HTTP/1.1" 200 66
